,Mw,Vs30,Rjb,Train_i,Train_ni,yij,muij,Y_,Mu_
0,0.2,0.2974135181975736,0.2197056918591622,1,1.0,5.150629428196472,4.7573543,5.150629428196472,4.757354259490967
1,0.2954545454545454,0.2974003466204507,0.2818847287870727,2,10.0,2.4995874229452264,2.4791725,2.153796316312851,2.4737722873687744
2,0.2954545454545454,0.466944540727903,0.3310580090879361,2,10.0,0.653409026283737,1.711295,2.153796316312851,2.4737722873687744
3,0.2954545454545454,0.2367417677642981,0.4178994772888136,2,10.0,1.2786042749322428,1.7357522,2.153796316312851,2.4737722873687744
4,0.2954545454545454,0.2658578856152513,0.3301181991684992,2,10.0,2.2441931995558706,2.1488438,2.153796316312851,2.4737722873687744
5,0.2954545454545454,0.2735604852686308,0.4369685237186799,2,10.0,1.1295899663819309,1.8006308,2.153796316312851,2.4737722873687744
6,0.2954545454545454,0.2753253726169844,0.2376985043490281,2,10.0,2.99398994212784,2.7489023,2.153796316312851,2.4737722873687744
7,0.2954545454545454,0.2496911611785095,0.3742134742595016,2,10.0,0.5098736655910912,1.787917,2.153796316312851,2.4737722873687744
8,0.2954545454545454,0.3140381282495668,0.3907207807476767,2,10.0,1.6591291449153176,1.7519517,2.153796316312851,2.4737722873687744
9,0.2954545454545454,0.233461698440208,0.2226918620870507,2,10.0,4.01399751983478,3.983306,2.153796316312851,2.4737722873687744
10,0.2954545454545454,0.2496551126516464,0.2150066422619774,2,10.0,4.555589000560473,4.589952,2.153796316312851,2.4737722873687744
11,0.2681818181818182,0.2523396880415944,0.2336057837321252,3,1.0,3.4782761964956315,3.8337448,3.4782761964956315,3.833744764328003
12,0.2681818181818182,0.2486655112651646,0.2443832813566362,4,1.0,4.66957665758364,3.9871008,4.66957665758364,3.987100839614868
13,0.2818181818181818,0.2974135181975736,0.2358643591836753,5,2.0,3.074288180781072,3.2588809,3.836840230823637,4.068939685821533
14,0.2818181818181818,0.2487369150779896,0.2147792688943717,5,2.0,4.599392280866203,4.8789983,3.836840230823637,4.068939685821533
15,0.3090909090909091,0.2779896013864819,0.2204332866355005,6,1.0,4.37667792935301,4.2107716,4.37667792935301,4.210771560668945
16,0.2681818181818182,0.3379549393414212,0.2259357221315589,7,1.0,5.276107573458856,4.3427534,5.276107573458856,4.342753410339356
17,0.3090909090909091,0.3214103986135183,0.3197499736056785,8,2.0,3.142406928381566,2.3704395,2.740894319293123,2.31449031829834
18,0.3090909090909091,0.3125393414211439,0.3091392164507449,8,2.0,2.33938171020468,2.2585409,2.740894319293123,2.31449031829834
